Ano;Turno;Município;Número;Candidato;Zona;Seção;Seções Agregadas;Votos;Local de Votação;Endereço Local de Votação;Bairro;
2024;2;FORTALEZA;13;EVANDRO LEITÃO;1;33; ;125;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;2;FORTALEZA;13;EVANDRO LEITÃO;1;34; ;118;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;2;FORTALEZA;13;EVANDRO LEITÃO;1;35; ;126;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;2;FORTALEZA;13;EVANDRO LEITÃO;1;36; ;134;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;2;FORTALEZA;13;EVANDRO LEITÃO;1;37; ;129;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;2;FORTALEZA;13;EVANDRO LEITÃO;1;38; ;139;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;2;FORTALEZA;13;EVANDRO LEITÃO;1;39; ;113;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;2;FORTALEZA;13;EVANDRO LEITÃO;1;40; ;123;COLEGIO ANTARES - SANTOS DUMONT;AVENIDA SANTOS DUMONT 3777;ALDEOTA;
2024;2;FORTALEZA;13;EVANDRO LEITÃO;1;41; ;120;COLEGIO ANTARES - SANTOS DUMONT;AVENIDA SANTOS DUMONT 3777;ALDEOTA;
2024;2;FORTALEZA;13;EVANDRO LEITÃO;1;42; ;112;COLEGIO ANTARES - SANTOS DUMONT;AVENIDA SANTOS DUMONT 3777;ALDEOTA;
2024;2;FORTALEZA;13;EVANDRO LEITÃO;1;50; ;124;ESCOLA ESTADUAL  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;
2024;2;FORTALEZA;13;EVANDRO LEITÃO;1;81; ;115;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;
2024;2;FORTALEZA;13;EVANDRO LEITÃO;1;82; ;126;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;
2024;2;FORTALEZA;13;EVANDRO LEITÃO;1;83; ;119;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;
2024;2;FORTALEZA;13;EVANDRO LEITÃO;1;84; ;131;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;
2024;2;FORTALEZA;13;EVANDRO LEITÃO;1;85; ;112;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;
