Ano;Turno;Município;Número;Candidato;Zona;Seção;Seções Agregadas;Votos;Local de Votação;Endereço Local de Votação;Bairro;
2024;2;FORTALEZA;22;ANDRÉ FERNANDES;1;33; ;169;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;2;FORTALEZA;22;ANDRÉ FERNANDES;1;34; ;156;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;2;FORTALEZA;22;ANDRÉ FERNANDES;1;35; ;142;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;2;FORTALEZA;22;ANDRÉ FERNANDES;1;36; ;151;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;2;FORTALEZA;22;ANDRÉ FERNANDES;1;37; ;152;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;2;FORTALEZA;22;ANDRÉ FERNANDES;1;38; ;150;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;2;FORTALEZA;22;ANDRÉ FERNANDES;1;39; ;161;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;2;FORTALEZA;22;ANDRÉ FERNANDES;1;40; ;164;COLEGIO ANTARES - SANTOS DUMONT;AVENIDA SANTOS DUMONT 3777;ALDEOTA;
2024;2;FORTALEZA;22;ANDRÉ FERNANDES;1;41; ;143;COLEGIO ANTARES - SANTOS DUMONT;AVENIDA SANTOS DUMONT 3777;ALDEOTA;
2024;2;FORTALEZA;22;ANDRÉ FERNANDES;1;42; ;150;COLEGIO ANTARES - SANTOS DUMONT;AVENIDA SANTOS DUMONT 3777;ALDEOTA;
2024;2;FORTALEZA;22;ANDRÉ FERNANDES;1;50; ;143;ESCOLA ESTADUAL  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;
2024;2;FORTALEZA;22;ANDRÉ FERNANDES;1;81; ;142;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;
2024;2;FORTALEZA;22;ANDRÉ FERNANDES;1;82; ;139;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;
2024;2;FORTALEZA;22;ANDRÉ FERNANDES;1;83; ;134;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;
2024;2;FORTALEZA;22;ANDRÉ FERNANDES;1;84; ;143;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;
2024;2;FORTALEZA;22;ANDRÉ FERNANDES;1;85; ;158;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;
2024;2;FORTALEZA;22;ANDRÉ FERNANDES;1;86; ;153;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;
2024;2;FORTALEZA;22;ANDRÉ FERNANDES;1;136; ;134;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;2;FORTALEZA;22;ANDRÉ FERNANDES;1;137; ;130;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;2;FORTALEZA;22;ANDRÉ FERNANDES;1;138; ;136;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;2;FORTALEZA;22;ANDRÉ FERNANDES;1;139; ;153;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
